candidate_id,structure_id,c1_ff,c2_ff,kappa,abs_vth_residual,source_sensitivity,ideal_vth_residual,total_cap_ff,transistors,control_groups,isolate_drain,track_prep,pareto,reference_timing,reference_mix,program_error_mv,hold_delta_vgs_mv
P3-c3b4b2f61c,S3-7f211789e6,640.0,640.0,0.4988308651597817,0.002338269680436156,0.0077423530377751515,2.220446049250313e-16,1280.0,7,4,True,False,False,,,,
P3-d3c2f10087,S3-7b5c2814dc,640.0,640.0,0.4988308651597817,0.002338269680437044,0.0077423530377751515,6.661338147750939e-16,1280.0,7,5,True,True,False,,,,
P3-f6fcb542ba,S3-08c937a01c,640.0,640.0,0.4988308651597817,0.002338269680436156,0.0077423530377751515,2.220446049250313e-16,1280.0,7,5,False,False,False,,,,
P3-84fe3862bf,S3-fd65244088,320.0,20.0,0.05830903790087471,0.008746355685131157,0.014833473271760766,-6.661338147750939e-16,340.0,6,4,False,False,True,T3-19,IGZO/IGZO/IGZO/IGZO/LTPS,8.250194725699615,-2.5523854134199553
P3-9f305993e6,S3-03b6d9e577,320.0,20.0,0.05830903790087471,0.008746355685131713,0.014833473271760766,-6.661338147750939e-16,340.0,6,5,False,True,True,,,,
P3-ebc09d625e,S3-7f211789e6,320.0,20.0,0.05830903790087471,0.008746355685131157,0.014833473271760766,-6.661338147750939e-16,340.0,7,4,True,False,False,,,,
P3-a2c774d470,S3-7b5c2814dc,320.0,20.0,0.05830903790087471,0.008746355685131713,0.014833473271760766,-6.661338147750939e-16,340.0,7,5,True,True,False,,,,
P3-b4a6387f41,S3-08c937a01c,320.0,20.0,0.05830903790087471,0.008746355685131157,0.014833473271760766,-6.661338147750939e-16,340.0,7,5,False,False,False,,,,
P3-24654949ad,S3-fd65244088,320.0,40.0,0.1101928374655646,0.00826446280991755,0.015095998827494905,0.0,360.0,6,4,False,False,True,T3-19,IGZO/IGZO/IGZO/IGZO/LTPS,7.311436663295479,-2.9038319707912486
P3-e7c9c56248,S3-03b6d9e577,320.0,40.0,0.1101928374655646,0.008264462809917661,0.015095998827494905,4.440892098500626e-16,360.0,6,5,False,True,True,,,,
P3-5943226008,S3-7f211789e6,320.0,40.0,0.1101928374655646,0.00826446280991755,0.015095998827494905,0.0,360.0,7,4,True,False,False,,,,
P3-72b146b057,S3-7b5c2814dc,320.0,40.0,0.1101928374655646,0.008264462809917661,0.015095998827494905,4.440892098500626e-16,360.0,7,5,True,True,False,,,,
P3-d1a94f5848,S3-08c937a01c,320.0,40.0,0.1101928374655646,0.00826446280991755,0.015095998827494905,0.0,360.0,7,5,False,False,False,,,,
