scale,total_cap_ff,kappa,vth_residual,source_sensitivity
1.0,660.0,0.030165912518853692,-0.004524886877830259,-0.0074721556464127925
2.0,1320.0,0.030234315948601556,-0.0022675736961452753,-0.00381721824852721
4.0,2640.0,0.030268634127884952,-0.0011350737797966026,-0.001930336715385117
8.0,5280.0,0.030285822449365892,-0.0005678591709254999,-0.0009707966072706187
