candidate_id,c_st_ff,c_data_ff,gref_tech,xref_tech,sclamp_tech,data_tech,em_tech,address_us,reset_us,comp_us,source_prep_us,write_us,dead_we_us,functional,score,compression_ratio,source_tracking_gain,vgs_source_sensitivity_pct,hold_droop_60hz_pct,comp_settling_pct,source_prep_settling_pct,write_settling_pct,em_drop_at_300na_mv,total_cap_ff,pareto
V2-F319163211,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,17.1,0.5,16.0,0.25,0.25,0.1,False,-50.72612276430027,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-D0677142CF,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,17.3,0.5,16.0,0.25,0.5,0.05,False,-50.7563680761833,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-8C3E796C37,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,17.35,0.5,16.0,0.25,0.5,0.1,False,-50.76391759696129,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-C782AD2066,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,17.8,0.5,16.0,0.25,1.0,0.05,False,-50.831651373307,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-14D8019D70,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,17.85,0.5,16.0,0.25,1.0,0.1,False,-50.839153856724984,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-37C4CC59DE,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,17.3,0.5,16.0,0.5,0.25,0.05,False,-50.7563680761833,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-5C4BAEDE67,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,17.35,0.5,16.0,0.5,0.25,0.1,False,-50.76391759696129,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-CC8C97BFBE,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,17.55,0.5,16.0,0.5,0.5,0.05,False,-50.794068539773164,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-0918052CD9,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,17.6,0.5,16.0,0.5,0.5,0.1,False,-50.80159450512325,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-117C070945,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,18.05,0.5,16.0,0.5,1.0,0.05,False,-50.86911694380495,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-DEF38E2999,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,18.1,0.5,16.0,0.5,1.0,0.1,False,-50.87659601855735,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-978B6A1837,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,17.8,0.5,16.0,1.0,0.25,0.05,False,-50.831651373307,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-7F7AA268C3,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,17.85,0.5,16.0,1.0,0.25,0.1,False,-50.839153856724984,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-F0A146C080,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,18.05,0.5,16.0,1.0,0.5,0.05,False,-50.86911694380495,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-4CC62A7E08,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,18.1,0.5,16.0,1.0,0.5,0.1,False,-50.87659601855735,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
