time_s,vg,vs,vx,vgs,gc,xc,sc,dc,ec
4.960030919999999875e-07,3.000271060000000212e+00,3.477688870000000265e-01,3.477422190000000191e-01,2.652502169999999992e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.993816220000000028e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.960052870000000089e-07,3.000466830000000140e+00,3.479661370000000087e-01,3.479202140000000054e-01,2.652500690000000105e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.989426530000000026e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.960086130000000038e-07,3.000770539999999986e+00,3.482721540000000005e-01,3.481963770000000014e-01,2.652498389999999873e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.982773450000000048e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.960139910000000307e-07,3.001265249999999885e+00,3.487706449999999903e-01,3.486462810000000023e-01,2.652494610000000197e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.972018599999999955e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.960242519999999829e-07,3.002210300000000220e+00,3.497229749999999915e-01,3.495059440000000128e-01,2.652487330000000032e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.951496590000000086e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.960440429999999886e-07,3.004027880000000206e+00,3.515548279999999859e-01,3.511601280000000158e-01,2.652473060000000160e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.911913710000000099e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.960836260000000036e-07,3.007635140000000096e+00,3.551914299999999747e-01,3.544462809999999742e-01,2.652443710000000010e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.832747960000000065e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.961627920000000336e-07,3.014733689999999910e+00,3.623518179999999922e-01,3.609254989999999830e-01,2.652381870000000141e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.674416450000000056e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.963211229999999841e-07,3.028475409999999979e+00,3.762294520000000198e-01,3.735168580000000071e-01,2.652245960000000125e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.357753430000000039e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.965304569999999768e-07,3.045747720000000047e+00,3.937055400000000205e-01,3.894388520000000020e-01,2.652042180000000027e+00,4.000000000000000000e+00,4.000000000000000000e+00,9.390861440000000115e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.967652280000000214e-07,3.063966810000000152e+00,4.121842499999999743e-01,4.063580920000000041e-01,2.651782560000000011e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.695430720000000058e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.969999999999999637e-07,3.081036689999999911e+00,4.295448969999999811e-01,4.223368459999999880e-01,2.651491790000000126e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.118305530000000124e-13,0.000000000000000000e+00,0.000000000000000000e+00
4.970264950000000418e-07,3.082884599999999864e+00,4.314277490000000270e-01,4.240757900000000080e-01,2.651456850000000198e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.970794839999999826e-07,3.086548000000000069e+00,4.351619219999999788e-01,4.275269380000000230e-01,2.651386079999999978e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.971854619999999701e-07,3.093721899999999803e+00,4.424815349999999814e-01,4.343028820000000012e-01,2.651240370000000013e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.973287590000000184e-07,3.103096929999999976e+00,4.520624810000000160e-01,4.431955909999999998e-01,2.651034450000000042e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.976153530000000093e-07,3.120775660000000062e+00,4.701824689999999918e-01,4.600890719999999878e-01,2.650593189999999932e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.978885890000000368e-07,3.136373910000000098e+00,4.862360689999999930e-01,4.751435230000000121e-01,2.650137840000000189e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.981825060000000161e-07,3.151880090000000134e+00,5.022673330000000380e-01,4.902651390000000164e-01,2.649612750000000183e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.984679299999999980e-07,3.165766609999999925e+00,5.166963940000000033e-01,5.039560459999999908e-01,2.649070210000000092e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.987691119999999672e-07,3.179265260000000204e+00,5.307998529999999882e-01,5.174165189999999637e-01,2.648465400000000081e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.990712850000000372e-07,3.191709369999999879e+00,5.438816730000000099e-01,5.299758340000000345e-01,2.647827700000000117e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.993906850000000235e-07,3.203764009999999995e+00,5.566414179999999989e-01,5.422988079999999655e-01,2.647122589999999942e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.997157780000000147e-07,3.214969620000000194e+00,5.685948920000000184e-01,5.539127130000000010e-01,2.646374729999999786e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000580579999999888e-07,3.225708329999999791e+00,5.801511870000000126e-01,5.652089359999999951e-01,2.645557150000000135e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
