candidate_id,topology_id,timing_id,transistor_count,c1_other,comp_node,data_node,anchor_node,bridge_node,anchor_mask,em_mask,address_us,t_reset_us,t_comp_us,t_write_us,t_dead_cw_us,t_dead_we_us,t_emit_us,functional,score,max_rcer_pct,max_prior_error_pct,off_current_nA,low_current_nA,mid_current_nA,high_current_nA,s_th,g_data,monotonic_margin_nA,pareto
PX-BD8AA698+TM-03DCFE76,PX-BD8AA698,TM-03DCFE76,6,A,A,A,B,NONE,1110,1001,2.0999999999999996,0.5,1.0,0.5,0.05,0.05,6.0,False,-70.74141788553338,129.43697680388766,199.67699719261685,17.298425069322803,0.1332436569488644,12.056441336602106,68.10537541418421,0.2937102788528308,0.5388028338732256,11.923197679653242,False
PX-BD8AA698+TM-EE5F79B6,PX-BD8AA698,TM-EE5F79B6,6,A,A,A,B,NONE,1110,1001,2.15,0.5,1.0,0.5,0.05,0.1,6.0,False,-70.75741556956743,130.08291242363805,199.67278312183194,17.298425069322803,0.13204953742425676,12.056407931943797,68.1045341451578,0.2937102788528308,0.5388206580703016,11.92435839451954,False
PX-BD8AA698+TM-C987E146,PX-BD8AA698,TM-C987E146,6,A,A,A,B,NONE,1110,1001,2.15,0.5,1.0,0.5,0.1,0.05,6.0,False,-70.80455443928389,143.71171331483455,199.64493692343183,17.298425069322803,0.11158724110834808,11.963366045036464,68.00853491502646,0.2937102788528308,0.5411131228432547,11.851778803928116,False
PX-BD8AA698+TM-BA2906EC,PX-BD8AA698,TM-BA2906EC,6,A,A,A,B,NONE,1110,1001,2.2,0.5,1.0,0.5,0.1,0.1,6.0,False,-70.81853622863179,144.28042560695988,199.64103765960763,17.298425069322803,0.11079623886331187,11.963334546514195,68.00769607494402,0.2937102788528308,0.5411138253840275,11.852538307650883,False
PX-BD8AA698+TM-B1B82082,PX-BD8AA698,TM-B1B82082,6,A,A,A,B,NONE,1110,1001,2.5999999999999996,0.5,1.0,1.0,0.05,0.05,6.0,False,-71.0666042355139,152.62012834090467,199.55872981231371,17.298425069322803,0.09869798909988346,10.99866603693297,64.33176643685638,0.2937102788528308,0.5278572628559244,10.899968047833086,False
PX-BD8AA698+TM-3ADEC45D,PX-BD8AA698,TM-3ADEC45D,6,A,A,A,B,NONE,1110,1001,2.65,0.5,1.0,1.0,0.05,0.1,6.0,False,-71.07963745404334,153.139857415397,199.5549315945563,17.298425069322803,0.09811955811942447,10.99865370388973,64.33101840977575,0.2937102788528308,0.527862489155529,10.900534145770305,False
PX-BD8AA698+TM-BC2BA4B2,PX-BD8AA698,TM-BC2BA4B2,6,A,A,A,B,NONE,1110,1001,2.65,0.5,1.0,1.0,0.1,0.05,6.0,False,-71.0843622107962,164.29394080052197,199.54072057493846,17.298425069322803,0.08740268162723737,10.962976113026388,64.3020724515278,0.2937102788528308,0.5298403321792619,10.875573431399152,False
PX-BD8AA698+TM-8103AB33,PX-BD8AA698,TM-8103AB33,6,A,A,A,B,NONE,1110,1001,2.7,0.5,1.0,1.0,0.1,0.1,6.0,False,-71.09682666323373,164.73872055800865,199.53732769581976,17.298425069322803,0.08698902490682826,10.962964461354714,64.30132514018136,0.2937102788528308,0.5298368340353221,10.875975436447886,False
PX-BD8AA698+TM-514F25E6,PX-BD8AA698,TM-514F25E6,6,A,A,A,B,NONE,1110,1001,3.5999999999999996,0.5,1.0,2.0,0.05,0.05,6.0,False,-71.40457546983806,185.36574236861486,199.3784912094559,17.298425069322803,0.06999077809767712,10.230545303304643,61.91741768050999,0.2937102788528308,0.5217774402661344,10.160554525206965,False
PX-BD8AA698+TM-37A2F2BC,PX-BD8AA698,TM-37A2F2BC,6,A,A,A,B,NONE,1110,1001,3.65,0.5,1.0,2.0,0.05,0.1,6.0,False,-71.41623656453507,185.6745146625979,199.37572207443674,17.298425069322803,0.06978670903008155,10.23054726057278,61.91672728651247,0.2937102788528308,0.5217750309835041,10.1607605515427,False
